title,review,First violation,Second violation,Third violation
Why I hate the app,This app is an invasion of kids privacy. Parents should trust their kids and not resort to stalking them. That’s how you push away your kids. My mom made me download this app and I hate it. And I hate her for making me get it. It has put a strain on our relationship as mother and daughter and she has yet to see it. She’s to wrapped up in her own mind and not worrying about how its effecting her own kids,Free will,Power,Visibility
Ruining My Mental Health,"This app is the reason why I’m so depressed, I feel like I don’t have any freedom. It’s making me lock myself up in a room and do nothing. This app wants kids to sneak out and do bad things. Strict parents = sneaky kids. If you’re a parent and want this for your teen, don’t do it. It’s causes more harm then good . Not to mention it’s not accurate and I’ve gotten In trouble before saying I wasn’t at school when I was. I’m finding ways I can hack this app so I can be myself again. I wanna be me, not my parents.",Free will,Power,Truth
this app has ruined my teenage years,"it's a great app if your trying to ruin your kids trust. my parents currently track me and are constantly checking my location even though i have never broken their trust. this app is ruining my relationship with my parents. i want my freedom back, this app is an invasion of privacy. my parents didn't have someone tracking them constantly, so why should i? please please please pleaseee get rid of this app. 

sincerely, a fed up teen",Free will,Power,Visibility
:(,"This app is honestly sick. The app may have been intended for people with special needs or small children, but almost everyone downloading it is a parent with trust issues. Teens can’t do anything with this app. It has caused a total loss of freedom and more sneaky children than before. We all know that parents weren’t perfect angels when they were teens so why do we have to be? You’re supposed to be enjoying your adolescences but instead we’re dreading them with this app. So here I am, writing this review, while grounded after my parents followed my every move behind me using the app. Thanks Life360 for ruining my teenage years. Totally disgusting.",Free will,Power,Visibility
Why you shouldn’t get this,This app should not be a thing where is the trust with your child if you have this app it should not be a thing. For the parents that use this on there kids think about when you where a kid would you constantly want a gps on you while your parents watch you think about that. Not to mention the complete invasion of privacy this app delivers.,Power,Honesty, 
this app ruined technology for me😂,"as a teenager (or soon to be), i understand that kids my age and up need to socialize more with their friends in real life. i obviously need to cut down the amount of time i’m on my phone. however this app shuts down almost everything and can see every text and website you’ve visited. now, i haven’t done anything bad online (recently😂), but i find that a little creepy and honestly an invasion of privacy. no wonder this app has such crappy reviews. also, i used to have way more apps than i do now. because my parents now have the ability to restrict apps that may be “inappropriate”. i already have to ask permission to download apps, so if they were inappropriate my parents wouldn’t let me download them.😂 there’s too many apps like this and i think kids need a break from all this crap on their devices.",Power,Free will,Truth
INVASION OF PRIVACY AND PEOPLE,"I can’t do anything. My parents constantly watch and stalk where i’m going. It’s horrible. Sometimes it even glitches and tells my mom i’m somewhere when i’m not even close to there. This app is awful and parents should trust their own child to go where they say they are going without staking them everywhere, just like when our parents were children. This app is an invasion of privacy.
WHOEVER CREATED THIS APP. F U. 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼",Free will,Power,Truth
listen to this,"I am a 16 year old in a small town.  I do not understand why i need to be tracked when everyone knows everyone?? personally it just ruins the trust in the family. It makes me leave my phone at home, which puts me in a more dangerous situation than if i wasn’t tracked and could take my phone. I have rebelled more because of this app and it has caused many issues like when i said i was going to the movies and had to stop at walmart for snacks first my mom flipped out for no reason??? you’re ruining your child’s life homie.",Free will,Power,Visibility
Life 360 isn’t doing any good,"Life 360 sounds like a nice idea on paper, but in reality it’s only building a negative relationship between you and your children. Forcing your loved ones to download this app will only demolish the trust between you both. Also, forcing your children to download this app will do nothing but teach them to be more sneaky. Parenting is supposed to about building a trusting relationship between you and your children while helping them discover the world and become the people they were meant to be, not obliterating trust. Stop over controlling your children.",Free will,Power,Honesty
Helicopter parent,I know parents are worried and want to keep an eye on their kids but this seems very controlling and can be dangerous for some kids i.e abusive parents. Just let your kid experience life and trust them.,Power,Free will,Free will 
mixed feelings.,"overall, this app isn’t what parents would ultimately want it to be. it’s invasive, inaccurate, and it creates sneaky children. it completely gets rid of the trust that a child has towards a parent. and while it’s important for a parent to trust a child, having than trust broken with your parent is heart wrenching. the fact that a parent can’t trust their child to make smart and safe choices feels awful, especially because parents are the ones who are meant to teach children that. it’s just extremely uncomfortable. it’s also very inaccurate at times. i’ve looked at my past locations / driving trips and it’ll show me shooting across the town or taking a route i didn’t take. but most importantly, IT CREATES SNEAKY KIDS. wouldn’t you rather have your child tell you where they’re going to be, who they’re going to be when, and when they’re going to do it? than say they’re gonna be somewhere, lie, turn off their location and do something against better judgement or your knowledge? or even worse LEAVE THEIR PHONE SOMEWHERE, making it so they can’t contact you in an emergency just because you wanted to track their moves. it also lets your kids see where you’re going!! if they have someone over who isnt supposed to be there and you’re moving towards home, they’ll get them out of there like nothing happened. strict parents create sneaky children and that’s one of the truest mottos out there. if a child wants to do something they will find a way to do it and every teenager would rather have an open honest relationship instead of a parent who doesn’t trust them. and even if you do trust your kids, it still feels like an invasion of privacy.",Free will,Truth,Honesty
Zero Stars: I only downloaded this app to comment,"I recently saw a commercial for this app on YouTube and I swear to god, I’m already an adult and if my parents ever try to use this on me (like they have with other trackers) then I am cutting off all contact with them. I refuse to live a life where every move I make is greeted by interrogation. For parents who are trying to download this app because they have control issues: YOUR CHILD SHOULD NOT BE YOUR HOBBY.",Power,No  violation,Free will
i hate life 360,can i even give this app 0 stars???? i hate it with a burning passion. parents: you should trust your kids and not act like stalkers and track them. it makes me uneasy knowing that with all the technology out there that phones can get easily hacked and some stranger can know mine or my child's location at all times. i refuse to use this app or any like it. it gives an advantage to sexual predators and stalkers and the last thing i want is to lose my child. many people fail to realize the dangers this app can give.,Truth,Free will,Honesty
Poor reason to download,"This app is a total invasion of privacy and is misused by 80% of all users who download it. The app is meant to be a way to locate family members in case of an emergency. However, everyone knows exactly why this app is installed by millions. This app is commonly used as a tracker for kids and more specifically teenagers to make sure they are always where they are supposed to be. What ever happened to the benefit of the doubt or actually establishing a relationship of trust with your children. If you think that this app will provide more security in your family lifestyle that is true but it will cost your children’s sense of trust and freedom.",Free will,Honesty,Truth
Terrifying,My son just got a car and a colleague recommended this app. Who is the evil over-protective parent who created this app? It tracks your child and sends notifications for every turn they make!!! It tells the parent what speed they are going and if they are on their phone while driving! I don't know about you but when I was a kid I sure as heck would not want to be tracked by my parents. I will let my son be free and live his life. The world needs more trust and getting this app admits you don't have a trusting bond between you and your child. Sure there are scary people but what did your parents do when you were driving? There were no apps and you obviously aren't dead because you are reading this. Try to fix your relationship with your child before resulting to this. I would not recommend this app to anyone at all.,Free will,Power, 
Rude customer service people,I have a daughter who has a phone at night. She also has mental illness and if I take her phone away it causes an altercation so I paused her internet with this app. Now I can’t because she connects to a neighbors open xfinity network and a customer service person told me to control my kids and just take their phone without even knowing me or the situation. I already feel horrible parent and don’t need to be kicked while I am down,Free will,Capacity,Truth
hate it,I get parents have this to protect their children but not to this extent it’s more like they stalk us than anything else. If parents truly cared for their children they wouldn’t have to see their every move. It’s a dangerous world now but when adults today were teens I’m sure they would not have wanted this app either. Don’t be a helicopter parent. Put yourself in your kids shoes for once and think about how they may feel having someone watching them 24/7.,Free will,Truth,Power
Orwellian At Best,"This is the kind of “Big brother” technology that people advocate out of fear with little regard for PRIVACY. There is no reason for any app or person to have 100% knowledge of where I am, and while some feature are smart, they should be laid out in a way that allows the users of the app to maintain some semblance of privacy from each other, only activating when an emergency situation is actualized. And to any families that force this upon your non minor family members I beg you to reconsider this Orwellian breach of privacy and trust.",Power,Free will,Truth
Bad relationships between children and parents,"This app is for controlling parents. Do they not realize you have to have trust in your children? They must not realize that kids find ways to make sure they can’t see them on life 360. Resulting in kids doing even worse things, and feeling like they can’t tell their parents because they are worried that they will know where they actually are. This app is creating terrible relationships for teens and parents. If you all were good parents, you would establish a trust. Not a tracking device.",Power,Free will , 
Crazy,"Nvr wld I want this app just because of the reviews!!!!!! Nvr wld i allow my child to have an app like this!!!!  This is INSANE!!!! Sounds to me like this app is for a bunch of kids who wana b totally perverted and don't want their parents to find out!!!! Ther is no way, as a parent, that I wld let my child have this app!!!! I can't believe some of these reviews! And the age of some of the kids on here!!! INSANE!!!!!",Statutes, , 
PARENTS PLEASE READ,"I understand why you may want to download this app, but please. Learn to trust your children. Tracking our every move is an insane invasion of privacy that you were not forced deal with when you were a teen. Please, my parents forced me to download it and it’s turned them into controlling helicopter parents, I promise that your child will talk to you and share with you and you will gain each others trust if you don’t download this app. 

TRUST. YOUR. KIDS.",Free will,Power,Visibility
An Abusive Parent’s Tool,"This app is a great way for abusive parents to exert control over their children while using the excuse “it’s just to keep you safe”, in one of the safest centuries humanity has even seen. 

Thanks Life360, for making the lives of teens and young adults just a little bit harder.",Power,Free will, 
‼️Helicopter Parenting 101‼️,"want to control your teen and treat them as property? do you like to make your teen feel untrusted and ruin any possible trust? is stalking your teen and ruining their teen years your favorite hobby? if so this app is perfect for you! Introducing life360, where parents have the ability to constantly track their kids and take away all freedoms possible at all costs!! Is your kid stuck in a bad situation with no means of communication because they left their phone at the location they said they would be? Well who cares! Because with life360 you won’t know that! Because what’s more important, your child having your phone to text you if they need help or are in a bad situation, or you having reassurance they are somewhere safe when they really aren’t? Of course, the reassurance as a parent is most important because who cares about teens anyways! That’s why this app was created in the first place! Life360 allows kids to be creative, a skill which many children today are lacking, and find any way possible of escaping life360 and going wherever they want! Wow... if only there was a way for teens and parents to build trust AND help prepare your teen for their future alone? But there is! imessage allows you to communicate with your teen and along with that, it allows them to keep in touch with you AT ALL TIMES!! It also allows them to not feel tied down and lets them enjoy their years as a teen. Please consider both the good and bad before downloading this app and ruining the rest of your child’s years as a teenager!",Free will,Power,Visibility
Maps is dangerous,"You really need to remove this Snap Maps. It so dangerous for kids. Sadly not all parents monitor their kids and this is a perfect way for predators to find them. I can't believe anyone would think this was a good idea. It IS PREFECT for rapist, stalkers, thieves, and pedifiles. Worst part is that most people don't even know it is turned on.",Truth,Honesty, 
Do not get this app for your teenagers,"This app allows no freedom for teens. I understand using the app for kids to make sure they haven’t wondered off but, once the child has reached 15 I believe the app should be turned off. Your kids are going to just rebel more if you are helicopter parenting. This app is also causing more harm then good, some kids will just leave their phone at home when sneaking out so they don’t get caught but, that will cause an issue when there is no way for the child to contact the police or their parents if there was an emergency.",Statutes,Free will,Power
YAY!! More restrictions on teenagers,"This app has its positives, such as helping kids to be more sneaky, and growing a divide between children and parents. As a good teenage child, I don’t feel the need to do bad stuff and sneak around. Yes, I may forget to tell my parents where I go 100% of the time, but I have been spending years building trust between my parents and I.  Now, I feel the need to leave my phone at home (which is more dangerous than if I didn’t have the app) so that I don’t feel constant eyes on me. Because of this app, I have spent the past hour thinking of ways to annoy my parents into letting me delete the app. So shoutout to life 360 for making mine and my parents life a living hell",Power,Free will,Visibility
rip Eturi,"Concerned parties,
If Eturi’s dad is reading this, kindly remove this control from their phone. I would not wish that on anyone
Parents, please do not get this app for your children, if you don’t believe me, watch Black Mirror S4E2 Arkangel to show the true dangers of this type of technology 
Sincerely, a concerned parent",Power,Truth,Free will
Horrible,This is causing parents to not trust their kids. I haven't been able to go out to get a burger without my parents calling yelling why am I on this street when I should be heading home. This made my parents stop trusting me and keep on getting angry because this app is showing I am somewhere else while I'm in class.,Power,Truth,Free will
horrible,"absolutely horrible y’all all about STALKING YOUR CHILDREN AND FRIENDS UH UH, NO NO. i was absolutely torn when my parents told me they needed to MONITOR WHERE I GO AND WHO I SEE. i’m just trying to have fun as the trusty teenager i am but NOOOOOOOOOOOOOOOOOOOO I CANT so full on HATE THIS APP.",Free will,Power,Visibility
"This app, very bad, very controlling, should never have been created","Look, I know that This app seems like a good idea, parents are able to control kid’s devices. It’s good for the parents, but not the kids. From personal experience, it just makes the kids angrier and more annoying always begging for more time. Do you see the kids in the trailer? They look absolutely miserable! Do you want that to be what your child acts and looks like by installing this app? It is a horrible idea! It doesn’t help things, if anything, it hurts things!! It give the parents more stress and makes the kids more likely to rebel against their parents.",Power,Free will,Free will 
Generic tracking app,"It makes me sick that this app even exists, oh wow it's so great I can track my child all the time. This app is an extreme invasion of privacy and should have never been developed along with all the other stalker apps there are out there. The only people who like this app are helicopter parents and stalkers",Truth,Honesty ,Free will
I really don’t know,"I mean the app does what it says it will do, but i just think that if anyone uses this to track their kids it creates a sense of distrust and resentment between the child and parent. I know  parent/child relationships that have been ruined by this app. But if you don’t trust your kid and you don’t care if they like you then go ahead",Power, ,Honesty
Misused,"This app is highly misused by soccer moms everywhere. It's supposed to be used to recover a lost phone, not to religiously stalk your children. Reading the reviews made me disgusted. The fact that a mom actually installed this app onto her son's phone without his knowledge is flat out wrong. Teens are supposed to do things their parents don't want them to do. If you're constantly monitoring your child 24/7, just imagine what your child will do when they go off to college. They'll go nuts with freedom. Parents are whats wrong with this generation, it's not the kids.
- A mother of 2",Power,Honesty,Free will
Misused,"This app is highly misused by soccer moms everywhere. It's supposed to be used to recover a lost phone, not to religiously stalk your children. Reading the reviews made me disgusted. The fact that a mom actually installed this app onto her son's phone without his knowledge is flat out wrong. Teens are supposed to do things their parents don't want them to do. If you're constantly monitoring your child 24/7, just imagine what your child will do when they go off to college. They'll go nuts with freedom. Parents are whats wrong with this generation, it's not the kids.
- A mother of 2",Power,Honesty,Free will
Misused,"This app is highly misused by soccer moms everywhere. It's supposed to be used to recover a lost phone, not to religiously stalk your children. Reading the reviews made me disgusted. The fact that a mom actually installed this app onto her son's phone without his knowledge is flat out wrong. Teens are supposed to do things their parents don't want them to do. If you're constantly monitoring your child 24/7, just imagine what your child will do when they go off to college. They'll go nuts with freedom. Parents are whats wrong with this generation, it's not the kids.
- A mother of 2",Power,Honesty,Free will
Needs better monitoring,"This app was great for my child until I found those horrible videos that look harmless but are spliced with people teaching kids how to harm themselves, turn on the stove and leave it like that, that momo crap. Sadly I cannot trust this app any longer. I don’t want to risk my child seeing these things and hurting herself. The app needs better monitoring as to who and what context is being posted. So scary that this is a way for sick people to target our little ones.",Truth,Honesty, 
Safety Of Our Children,"If this app really cared about our children’s safety, they wouldn’t make us pay just to send alerts. I like the way it WOULD be if this app was free, but it’s insane that these money-hungry tycoons want to put money between your children’s safety, and maybe even lives. If you are a parent, I recommend you do NOT DOWNLOAD THIS APP. There are many families who could’ve lost someone because of your freemium. For example, a parent could think their son was at a friends house, but he can be in trouble.",Truth,Power, 
Strict parents=sneaky kids,"Like many of the other teenagers who were forced to download this app as a result of overbearing parents, I absolutely hate it. I understand that this app can be used for good but some parents are taking it way too far. Children need to be allowed freedom while they are growing up and don’t need to feel like their parents are following them around all the time. Furthermore, tracking your kids every move can be damaging to the connection between a parent and a teenager. Your child will feel like they can’t be honest with you because of consequences. That will cause a lack of communication and lying on a teenagers part. Kids need to be allowed freedom without feeling like they can’t do anything because of overly protective rules. There is no reason to need to know where your child is every two seconds if you are that worried a simple text, “did you make it ... safely?” Will do just fine. You can’t just give all of the responsibility to your child the second they turn 18 they need to be allowed freedom so they can learn boundaries. If you are always there looking over their shoulder and trying to protect them they will never learn the responsibility of making good decisions.",Power,Free will,Visibility
unnecessary,when parents force their child to download the app it damages the relationship between parent and child. it shows that the parents do not trust their own child and puts restrictions that become suffocating. sure if you ask your child if they want to download it and they agree to it then that's fine but if a person is forced to download the app there is a problem. due to the apps existence parents believe they have the right to track their childs whereabouts and it's scary how accurate it is sometimes.,Power,Free will,Visibility
Most Unnecessary App,For the creators of this app i want you to know that the only thing you are doing is ripping families apart. As many other teens in my area I was forced to download this or my phone would be turned off and I would be grounded indefinitely. I constantly get calls asking why I am going so fast (going five over speed limit) or why I am not where I am supposed to be (stopped for food) bottom line is this is an infringement of privacy and I am disgusted with the developers of this app who probably were never tracked or never watched as kids. I just hope you know that you are causing unnecessary and unneeded fights within homes and families. Please take this app down.,Power,Free will,Visibility
This is a disgusting app,"This app is beyond invasion of privacy. I genuinely want you to think of what practical uses of this app is. I understand for a young child but for teenagers/grown adult? Come on. Don’t be a snoop parents. Let your teens be teens. If you stalk your kids on this app, they are going to learn to resent you and trust me... they have work arounds for this stupid app. I’m not going to say what they are because I don’t want to risk the chance of them getting patched, but just know we know way more about this app then you do, and we have work around. So go ahead, be a controlling parent. See if your kids ever come see you after they turn 18 lol.",Free will,Power,Honesty
"if you’re trying to ruin your children’s social life, then this is the app for you.","this app is horrible. I hate it it’s the stupidest app ever invented. If you have psycho parents who control every breathe you take then this will make your life even more of a living hell. This app not only just tracks ur exact coordinates it tracks your speed, battery percent, whether u try to turn the app on and off. This is stalking it is not “helpful” this makes parents trust their kids even less and makes kids want to sneak around more. Maybe if kids felt like they could trust their parents and not have to have an app tell their parents every step they take, life might be a little bit more bearable. Because of this app, i have not been able to go to bonfires or go to the mall with friends or have sleepovers because my mom has been so psycho about tracking how fast i go on the highway and why it took so long for me to get home after school bc i stopped at the gas, i have no social life. i rarely get the opportunity to leave the house besides school and work. So thank you life360 for making my mom trust me even less when i barely get to go out to being with!!!",Power,Truth,Free will
Please read,"I do understand that this app may be necessary for teens with behavioral issues or teens that get into trouble frequently, but in all other cases I do not think that this app should necessary. Every teenager that is forced to download this app hates it. They also begin to have trust issues with their parents. This app has caused extremely unnecessary damage to my family. I wish I never got it in the first place.",Power,Free will,Visibility
This stuff is junk!,"Ok my opinion on this app is it that it's pathetic. I am a 12 year old and if my mom had this app I would go crazy. Seriously telling what time you arrive home and seeing what the child sees on social media! That is taking away all privacy. If you have this app then you are basically stalking your child. If u trust your daughter/son with having a phone alone or social media than you shouldn't be getting this app. If you are following your child on social networks than I don't think you need an alert for when they post. Everyone likes a cool parent. If you have this app then that is showing you are far away from that. Yes, it is nice to know your child is not doing something inappropriate, but this is taking it way too far. So please read this before you download this app. And see what your child and our age's perspective is.",Free will,Power,power
Worst app ever,"This app ruins trust... That’s basically all it’s good for! This has broken the relationship and trust between my mom and I. 
P.S. all you parents that LOVE this app and are making your kids download it, are suffocating your kids and are awful parents
#life360sucks",Power,Free will,Visibility
Ruining Teenagers,"Although this app may help adults, it is ruining teenagers. I am a responsible teen but still feel uneasy and violated at the fact that my parents are watching my every move. I want to be able to live my life as a teen but I am afraid to do that knowing my parents are watching my every move. Who ever made this app should have thought about all the teens life they are ruining.",Free will,Visibility,power
Don’t waste your money- Use find my friends,"This is a money making scheme to make
parents even more controlling. Yep! That’s you helicopter parents! Tracking and receiving notifications about your child’s location and phone usage- Psychotic. Seeing your child’s location is one thing for safety reasons, that’s why my family uses find my friends & find my iphone. we have all of our devices connected and we can see where we all are for FREE! If my daughter gets into a car accident/gets lost/is in danger i know her precise location through apple not some app. Don’t trust Life360!",Power,Honesty,power
This ruined my life,"Hello, for all the parents out there thinking “oh, I need to get this to make sure my son/daughter is safe” stop. Your child will soon hate you for all the “why are you at this gas station instead of going to the other” and “don’t speed” even if they’re only going 5 above. You don’t think you’ll be like that? Trust me, life360 brainwashes you to become a helicopter parent. Let your kids have some privacy, they need to live somehow.",Power,power,Free will
Teens,I think this app is a way for parents to invade their children privacy!!! We are young let us have our freedom!!! If you want to use a app as a way for protection use find my iPhone!! 🤬😡 also love how all the mom who are in their 25-40 are in love with this app so they can stalk their children! This app has caused so many problems I am a teenager if I get in trouble I will call who I feel is fit to know but I don’t want to have my parents up my butt all the time because I’m not in their business so they have no business to be in mine! This app just shows your children that you don’t trust them!,Free will,Power,power
Ruined my life,This app is horrible. I am 17 and I can't even stop by a grocery on the way home bc it will tell my mom and she'll get mad I didn't tell her. Once it said I was in a place I was never in and I got in trouble. This takes away any sense of privacy and is only good for insanely overprotective mothers/fathers. I have had to go without my parents permission to seem medical help I knew my parents wouldn't approve of and if I had had that app at that time I never would've been able to and I don't know what would have happened. I feel less safe with my parents than with anyone else and this app only makes it worse bc it's like they are always with me.,Power,Free will,Free  will
Don’t download,This is invading you own kids personal life if you track EVERYWHERE they go and what BATTERY they have then you need to stop. This makes kids feel the need to sneak out and not be honest with their parents because they can’t go out without worrying they’ll get in trouble even if they’re allowed to go somewhere. Right when I got a phone it was the first app they installed in 6th grade!!!! I’m just saying don’t do it your kid also has a life and it just builds a bad relationship with your parents. If this wouldn’t be a thing you can build a relationship with your kid and they’ll tell you everywhere they go and they won’t have to lie either.,Power,Free will,Statutes
creepy,"literally something out of a sci-fi movie or 1984. Tracking software like this is all we have been warned about our entire lives, and now it’s being accepted under the guise of safety? Last time I checked, the parents requiring children to download this app survived just fine without someone constantly looking over their shoulder. The entire point of being a teenager is to explore the world and get to understand it before you actually move out. This app is just another ridiculous and frankly disturbing method for helicopter parents to screw up their children’s lives. By tracking them 24/7, kids will most likely be isolated from their friends and develop mental issues from this exclusion. And the main reason most parents get this app, the crash detection feature, must be paid for. The developers of this app are clearly just trying to profit off the suffering and social isolation this app causes teens, and clearly have some form of mental issue, superiority complex, or just enjoy seeing children suffer. Apps like this that share location with others 24/7 should really be illegal, and at the least, banned from the App Store.",Free will,Power,Free  will
Awful!!,"This app just promotes stalking your children! If you are concerned with what your child does on their phone, sit them down and have a conversation with them and discuss the importance of safety! I am convinced that the only parents who use this app are the ones who have unstable and unhealthy relationships with their kids! Teach your children well so you can trust them! :(",Visibility,Power,power
Family,This app is for nothing but over protective parents who don't trust their kids to tell them where they are at. It's weird and violates privacy. Basically this app is a leash used as a force of control. It made my child resent me because he felt like I didn't trust him.,Power,power,Free will
invasion of privacy,this app is a total invasion if kids’ privacy and causes anger toward parents and trust issues in the family. to keep us safe there is find my iPhone and this is honestly far too much of an invasion of privacy. like it breaks all principles of having a phone. and when parents use this u create a toxic environment at home. I hate whoever made this app as it has ruined my life and relationship with parents. TAKE THIS APP DOWN.,Honesty,Free  will,power
This app should not be on the App Store,It isn’t even a full day with the app and my family is ripped apart. I’m a 14 year old girl who needs space. With this app that is not possible. My sister and I both heard  awful things from this app from other kids we know. Saying we have no privacy and they feel like they are being controlled all the time. I do agree that every child/ teen should have a type of control but this has gone to far. After reading some reviews off this app there have been many misleading situations when the child was in the right and the location was wrong. Not to mention our street name is wrong. I feel as if with this app there are many complications in which need to solved but I will forever hate this app. Thank you!,Honesty,Free  will,power
Life 360,This app teaches kids to be sneaky around parents. Parents who sit and watch every single step there kid takes really have a problem. The problem isn’t the kids the parents are the problem let your kids grow up quit invading there personal space. How would you like it if your parents had a tracker on you. All I’m saying is the people who are tracked and monitored all the time are those in state penitentiary.,Power,Free  will,power
Can’t recommend,"The app miscalculates location data so people will look like they are somewhere they aren’t and parents aren’t likely to believe something when their app says something else even if the app is wrong. Lucky for me my dad knows how tech can mess up but this was only after a phone call where my mom yelled at me for lying and didn’t believe me until my dad talked to her. My family had more trust between persons before this app. 
If you can’t trust your kids to drive to and back from school and basic stuff then what are you even doing. This is basically consensual spyware and is not a good idea.",Truth,Honesty,power
controlling and abusive,"first of all, while i was at school, the app said that i was at someone’s apartment. my mother then proceeded to call the school, taking me out of class to check if i was in school. not only did this app prevent me from learning, but it also distracted all my classmates and teachers as well. this app is also extremely controlling. parents should have trust in their children and not try and stalk them. i have never given my parents a reason to distrust me and i am a good kid. i hate the idea of being tracked and i feel as if it is an envasion of privacy.",Power,Truth,Visibility
Somebody that's not a mid aged mom,"This app gives me absolutely no privacy whatsoever. I don't think that parents understand that their kids need some privacy. I know it sounds good and all to know what your kid is doing every single second of the day, but for the kid it gives them no sense of privacy.",Power,Free will,Visibility
Kids can’t be kids with is app,Parents shouldn’t keep this close of an eye on their kids. They should be able to live life especially their teen years. I haven’t been able to feel free ever since my parents forced me to download this app. You can’t go anywhere with being constantly watched 24/7. It’s horrible.,Power,Visibility,Free will
Way too over the top,"As a disciplined and safe teen I find this app extremely frustrating for a myriad of reasons. First of all, it has made my parents OBSESSED with knowing where I am 24/7. Not like the normal check up every 2 hours when you’re out with your friends for a night. No no. I’m talking about checking it every 10-20 minutes even when I’m doing something as innocent as going out for coffee or coming to and from school. 

When I go out my parents always freak out and question me on where I went and exactly what I did. It has made me distanced from them and made me feel like they don’t trust me at all. This app notifies your parents/family when you turn off the tracking and when you are stopped somewhere, even if you don’t want that setting to be turned on. It’s a violation of people’s privacy ESPECIALLY since I am close to being a legal adult.

 My sister is in college and over 18 and my parents still obsess over her location and driving every minute of the day, which implores me to ask every parent out there who wishes to download this app for that purpose, to be VERY wary of the privacy and trust boundary between you and your child/children. If you want your kid to be safe just ask them if they feel comfortable with this app or make them memorize some family members numbers. That’s what they’re for. That’s what this app is for. Not to spy on your children CONSTANTLY because you think they are up to some fishy stuff. 

Be safe and teach your children to be, and that’s the best we can all do.",Power,Free will,Statutes
Terrible App Extremely Disgusting,This app is an app that will destroy the future generation. It tracks your every move and allows helicopter parents to be overprotective over their kids and not allow their children to properly develop. Parents who download this app should grow up themselves and stop being petty intrusive people. Do not download this app.,Power,Visibility,Free Will
Salty waters,This app is good for those who need it. However it is a total invasion of privacy and the reason teens resent their parents. In addition this is the type of stuff that creates untrustworthy and dishonest children. Looking back at my home life as a teen this app definitely hurt it more than helped it I would not recommend this to any parent it’s just an excuse to be invasive.,Power,Free will,Visibility
I hate this app!!,"I hate this app so much! My mother is always questioning me and if I delete it she will ground me I'm so pisses at who ever made this friggin app!!!😡😡
No one want their parents to stalk them!!😡😡",Power,Visibility,Free will
Not safe,"It's a cool app I may say.. But, It's not safe whatsoever.  I feel like children would play this and get taken away by some creep, and you would who knows what they would do to that kid.. I don't trust it. This app would be perfect if location was not apart of it.",Truth,truth,Attention
Invasion of privacy,"To every parent out there thinking this is the best app you have ever seen due to the speed recording and tracking system, you are wrong. No teenager wants to be tracked by their phone especially if they don’t do anything wrong in the first place. I believe this app is an invasion of a young adults privacy and slowly ruins their highschool/ teenage years. Trusting your kid is one thing, but getting a whole tracking system on their phone just to have a reason to get them in trouble is just idiotic. I am a 16 year old teenage boy that likes to hangout with friends on weekends and likes to just chill out in the school parking lot after school or practice just listening to music and enjoying their 4 years they have together. Ever since i’ve gotten this app i have been insulted on “why did you go 60 in a 55?”, “why did you stop here for 5 minutes”, “Get home, I know that practice is over”. I just wish this app could somehow be deleted because it is slowly ruining teenagers lives. Our parents didn’t have any way of being tracked when they were teenagers but they think it’s right to just invade our privacy. I know that most parents just ignore the fact that we have no freedom because of this app, but they should reconsider even thinking about this app. If you have life 360, I know exactly how you feel and I feel sorry for you as much as i feel sorry for myself. 

-Sincerely, life360 victim",Power,Visibility,Free will
Leads to more problems,"This app..... I swear it can lead your kid to more problems. One day, they will left their devices home just so they can go do something and not want their parents to see, and then get hurt and etc. And their loves one won't even know and can't even call 911. Why? Because they left their phone home just so their parents can't find them. This app should shut down for good. If you don't want your kid injured or whatever don't use this app, it can lead to more problem. Plus, don't you feel like a stalker because your no different if you use it.",Free will,Power,Free Will
BAN LIFE 360,This app is very controlling and very stalker like. I think this is not needed because it destroys any trust a child can have with their parent/guardian. It also implies that parents don’t trust their children because their excuses are crazy.,Power,Free Will,Free will
Privacy,"Hello, being a 15 year old girl is hard enough, we just want out privacy and not to be monitored 24/7. It is a complete invasion of privacy. I don’t need people knowing exactly when I arrive at home and when I leave. If parents don’t trust that you will make good choices on your own they should consider counseling or another option besides tracking you everywhere. Life 360 has ruined my life and trust with my parents because it makes me and other users feel there parents or guardians don’t have any trust with them.",Power,Free will,Visibility
Do not use this app,"This app should not be a thing and if you have this app for your kids you have a lot more problems then an app can fix. This app shows you don’t trust your kids and I get it some kids sneak out and go where they aren’t supposed to. If you think about it’s not their fault they didn’t tell you sometimes. They didn’t tell you because your name is probably Karen and your overprotective and you don’t you don’t want your kids living their teenage years. This app takes away from being a teenage. You moms and dads out there probably did some really bad things when you were younger which is maybe why you want this app. If your kid hasn’t done anything bad why should you put them on a leash? If your kid has done something y’all to them about why they did it. Dint ruin the rest of the years they having being a teenager, because it doesn’t last long.",Power,Free will,Free Will
